Date,Open,High,Low,Close,Adj Close,Volume
2020-08-03,48.270000,48.630001,47.740002,48.299999,47.050617,31767100
2020-08-04,48.599998,49.139999,48.500000,49.130001,47.859154,29045800
2020-08-05,49.720001,49.720001,48.660000,48.919998,47.654583,29438600
2020-08-06,48.790001,48.820000,48.099998,48.570000,47.634968,23795500
2020-08-07,48.529999,48.650002,47.700001,48.029999,47.105358,36765200
2020-08-10,48.200001,49.389999,48.060001,49.220001,48.272457,37442600
2020-08-11,49.630001,49.730000,48.060001,48.189999,47.262283,35348100
2020-08-12,48.669998,49.259998,48.240002,49.189999,48.243027,30659800
2020-08-13,49.259998,49.330002,48.389999,48.560001,47.625160,24774500
2020-08-14,48.730000,49.209999,48.650002,48.889999,47.948803,22321200
2020-08-17,49.110001,49.310001,48.730000,48.930000,47.988041,20018300
2020-08-18,49.259998,49.570000,48.619999,48.650002,47.713432,19251400
2020-08-19,48.790001,48.980000,48.250000,48.330002,47.399586,27775000
2020-08-20,49.810001,50.200001,49.000000,49.169998,48.223412,55081300
2020-08-21,49.020000,49.310001,48.650002,49.279999,48.331299,34621500
2020-08-24,49.259998,49.400002,48.820000,49.139999,48.193993,36295300
2020-08-25,49.349998,49.880001,49.209999,49.430000,48.478409,38384300
2020-08-26,49.389999,49.669998,49.230000,49.549999,48.596100,28616600
2020-08-27,49.790001,49.930000,49.169998,49.400002,48.448990,24420600
2020-08-28,49.570000,50.799999,49.459999,50.430000,49.459160,35384700
2020-08-31,51.000000,51.500000,50.320000,50.950001,49.969151,46114100
2020-09-01,50.910000,51.000000,50.220001,50.790001,49.812229,30472800
2020-09-02,51.209999,52.680000,51.090000,52.250000,51.244125,53000700
2020-09-03,52.500000,52.619999,50.139999,50.389999,49.419930,47394300
2020-09-04,50.529999,51.230000,49.490002,50.080002,49.115902,43318400
2020-09-08,49.259998,49.900002,48.849998,48.910000,47.968418,39752700
2020-09-09,49.529999,49.970001,49.040001,49.619999,48.664749,33437300
2020-09-10,50.000000,50.090000,48.709999,48.959999,48.017460,32649100
2020-09-11,49.259998,50.049999,48.950001,49.279999,48.331299,29333600
2020-09-14,48.849998,49.720001,48.849998,49.410000,48.458797,27212500
2020-09-15,49.790001,50.599998,49.730000,50.000000,49.037437,27598300
2020-09-16,50.509998,51.029999,50.169998,50.369999,49.400318,26531400
2020-09-17,49.369999,50.490002,49.299999,50.320000,49.351276,26959900
2020-09-18,50.330002,50.500000,49.040001,49.889999,48.929554,50123500
2020-09-21,49.389999,49.750000,48.830002,49.720001,48.762829,27377100
2020-09-22,49.889999,50.209999,49.470001,49.950001,48.988403,22290900
2020-09-23,49.830002,50.150002,48.660000,48.820000,47.880154,30078800
2020-09-24,48.529999,49.639999,48.419998,49.160000,48.213608,29343400
2020-09-25,48.959999,50.279999,48.750000,49.939999,48.978596,26633400
2020-09-28,50.509998,51.459999,50.160000,51.430000,50.439907,29652200
2020-09-29,51.310001,51.740002,50.950001,51.189999,50.204529,19558200
2020-09-30,51.240002,52.380001,51.150002,51.779999,50.783169,27711300
2020-10-01,52.400002,52.720001,51.990002,52.240002,51.234314,22127600
2020-10-02,51.500000,51.980000,50.990002,51.009998,50.027992,25811800
2020-10-05,51.299999,51.810001,51.270000,51.689999,50.694904,20883200
2020-10-06,51.709999,52.700001,51.230000,51.369999,50.381062,25642800
2020-10-07,51.849998,52.900002,51.790001,52.669998,51.656033,21978700
2020-10-08,52.910000,53.580002,52.669998,53.369999,52.342560,22369500
2020-10-09,53.549999,53.849998,52.669998,52.820000,51.803146,24343900
2020-10-12,53.549999,54.200001,53.209999,53.880001,52.842747,27303500
2020-10-13,54.270000,54.290001,53.619999,53.830002,52.793705,20005800
2020-10-14,54.009998,54.400002,53.509998,53.549999,52.519093,21874200
2020-10-15,52.750000,53.980000,52.619999,53.849998,52.813320,18272900
2020-10-16,53.900002,54.700001,53.900002,54.160000,53.117355,23414400
2020-10-19,54.470001,56.230000,53.840000,54.580002,53.529270,43537200
2020-10-20,54.599998,54.700001,53.270000,53.430000,52.401405,27224900
2020-10-21,53.139999,54.070000,52.820000,53.500000,52.470058,21866000
2020-10-22,53.119999,54.220001,53.070000,53.900002,52.862362,41522700
2020-10-23,48.349998,48.669998,47.660000,48.200001,47.272091,97322500
2020-10-26,47.849998,47.860001,46.250000,46.720001,45.820583,54161300
2020-10-27,45.980000,46.410000,45.360001,45.639999,44.761372,50130500
2020-10-28,44.889999,45.290001,44.200001,44.250000,43.398132,45066000
2020-10-29,44.240002,44.470001,43.919998,44.110001,43.260830,36796800
2020-10-30,44.099998,44.799999,43.610001,44.279999,43.427555,46781300
2020-11-02,44.959999,45.060001,44.240002,44.459999,43.604088,33856700
2020-11-03,44.730000,45.459999,44.700001,44.849998,43.986580,34349500
2020-11-04,45.110001,46.150002,44.779999,45.700001,44.820217,34748200
2020-11-05,46.150002,46.380001,45.529999,45.680000,45.126461,31103200
2020-11-06,45.540001,45.799999,44.900002,45.389999,44.839973,36233700
2020-11-09,46.639999,47.349998,45.540001,45.599998,45.047428,48481700
2020-11-10,45.400002,46.480000,45.250000,45.439999,44.889366,39224500
2020-11-11,45.900002,46.459999,45.860001,46.349998,45.788342,31496900
2020-11-12,46.130001,46.189999,44.549999,44.950001,44.405308,42881300
2020-11-13,44.990002,45.580002,44.970001,45.459999,44.909126,30884700
2020-11-16,46.040001,46.750000,45.790001,46.189999,45.630276,36306300
2020-11-17,45.750000,46.119999,45.410000,45.529999,44.978279,31118000
2020-11-18,45.549999,45.689999,45.040001,45.060001,44.513977,32817900
2020-11-19,44.919998,45.669998,44.700001,45.619999,45.067184,29469100
2020-11-20,45.660000,45.880001,45.330002,45.389999,44.839973,24199300
2020-11-23,45.480000,46.209999,45.450001,46.060001,45.501858,35489600
2020-11-24,46.290001,47.299999,46.009998,47.009998,46.440342,33901200
2020-11-25,47.029999,47.180000,46.570000,47.049999,46.479858,28126900
2020-11-27,47.360001,48.099998,47.360001,47.450001,46.875015,15921400
2020-11-30,47.419998,48.500000,47.270000,48.349998,47.764103,46332700
2020-12-01,48.750000,50.230000,48.709999,49.560001,48.959446,57768000
2020-12-02,49.220001,50.060001,49.180000,49.900002,49.295326,33753500
2020-12-03,49.919998,51.110001,49.779999,50.990002,50.372116,50261200
2020-12-04,51.060001,52.650002,51.000000,51.990002,51.359997,39767700
2020-12-07,51.000000,51.290001,49.560001,50.200001,49.591690,51040300
2020-12-08,49.830002,50.720001,49.810001,50.689999,50.075748,28956500
2020-12-09,50.279999,50.840000,49.730000,50.070000,49.463261,34068400
2020-12-10,49.660000,50.720001,49.590000,50.259998,49.650959,33706000
2020-12-11,50.139999,50.139999,49.119999,49.730000,49.127384,29398800
2020-12-14,49.820000,51.340000,49.740002,50.470001,49.858418,33436400
2020-12-15,50.980000,51.009998,50.209999,50.669998,50.055988,25465600
2020-12-16,50.709999,51.459999,50.680000,51.119999,50.500538,28351000
2020-12-17,51.150002,51.320000,50.220001,50.650002,50.036240,26399000
2020-12-18,50.570000,50.680000,47.110001,47.459999,46.884892,119298400
2020-12-21,46.320000,46.450001,45.240002,46.360001,45.798222,53775700
2020-12-22,46.250000,46.340000,45.770000,46.169998,45.610523,32171200
2020-12-23,46.169998,47.029999,46.070000,46.570000,46.005676,22564200
2020-12-24,46.599998,47.090000,46.340000,47.070000,46.499615,11865600
2020-12-28,47.189999,47.639999,46.860001,47.070000,46.499615,21269200
2020-12-29,47.220001,50.669998,46.490002,49.389999,48.791500,84531400
